invoice_no,vendor,date,amount,label
INV-6208,Gamma Co,2025-04-12,1149.0,0
INV-6734,Gamma Co,2024-12-18,5517.0,0
INV-8630,Delta Services,2025-07-09,264.0,0
INV-2441,Beta Traders,2025-02-06,4317.0,0
INV-8179,Alpha Supplies,2024-08-23,1675.0,0
INV-5696,Omega Inc,2025-03-24,1267.0,1
INV-4777,Omega Inc,2024-09-09,73.0,0
INV-9363,Gamma Co,2025-04-29,100.0,0
INV-3464,Omega Inc,2025-07-11,12105.0,0
INV-4253,Beta Traders,2024-08-10,5501.0,0
INV-3411,Gamma Co,2024-10-31,498.0,0
INV-7563,Gamma Co,2024-11-16,84.0,0
INV-5917,Delta Services,2025-05-04,607.0,0
INV-6484,Beta Traders,2024-08-13,5696.0,0
INV-8377,Omega Inc,2025-07-30,1349.0,0
INV-2044,Beta Traders,2025-06-26,529.0,0
INV-4313,Gamma Co,2025-01-22,10230.0,1
INV-4327,Alpha Supplies,2024-10-09,207.0,0
INV-4274,Delta Services,2024-12-18,9782.0,0
INV-5988,Omega Inc,2025-01-25,1250.0,0
INV-3467,Beta Traders,2025-01-04,119.0,0
INV-6080,Delta Services,2025-01-10,257.0,0
INV-7055,Omega Inc,2024-12-02,62.0,0
INV-6441,Gamma Co,2025-01-05,4667.0,0
INV-1554,Delta Services,2025-04-22,8732.0,0
INV-1373,Beta Traders,2024-12-31,107.0,0
INV-5184,Delta Services,2025-06-19,1453.0,0
INV-4959,Alpha Supplies,2025-06-09,107.0,0
INV-3047,Gamma Co,2025-03-21,10970.0,1
INV-7679,Alpha Supplies,2025-06-08,1605.0,0
INV-7864,Delta Services,2024-11-12,5040.0,1
INV-3287,Beta Traders,2024-09-25,109.0,0
INV-7733,Omega Inc,2025-02-24,595.0,0
INV-1253,Gamma Co,2025-05-27,5695.0,0
INV-3825,Beta Traders,2025-01-13,4758.0,0
INV-7577,Delta Services,2025-03-06,174.0,0
INV-4549,Alpha Supplies,2025-07-10,448.0,0
INV-9940,Gamma Co,2024-10-02,313.0,0
INV-3532,Alpha Supplies,2024-08-16,1277.0,0
INV-1015,Beta Traders,2024-09-16,93.0,0
INV-2761,Omega Inc,2025-03-11,8307.0,0
INV-4782,Alpha Supplies,2025-04-10,8390.0,0
INV-1097,Delta Services,2025-03-04,285.0,0
INV-3055,Omega Inc,2025-07-08,280.0,0
INV-6323,Alpha Supplies,2025-06-27,9189.0,1
INV-9963,Delta Services,2024-12-20,428.0,0
INV-5549,Delta Services,2024-09-19,468.0,0
INV-7343,Omega Inc,2025-02-28,11830.0,1
INV-4099,Gamma Co,2025-05-27,1433.0,0
INV-2824,Alpha Supplies,2025-03-02,303.0,0
INV-4348,Delta Services,2025-04-13,959.0,0
INV-3976,Gamma Co,2025-02-20,5014.0,0
INV-5819,Omega Inc,2024-09-04,117.0,0
INV-1204,Alpha Supplies,2025-03-23,9301.0,1
INV-6961,Gamma Co,2025-07-14,547.0,0
INV-3736,Gamma Co,2025-07-11,432.0,0
INV-7295,Omega Inc,2025-04-21,1372.0,0
INV-4326,Delta Services,2024-10-27,231.0,0
INV-6984,Beta Traders,2024-08-10,11233.0,0
INV-6965,Alpha Supplies,2024-11-30,908.0,0
INV-2181,Delta Services,2024-11-11,548.0,0
INV-9103,Alpha Supplies,2025-03-07,1197.0,0
INV-7104,Omega Inc,2025-03-12,393.0,0
INV-9198,Alpha Supplies,2025-03-21,10909.0,0
INV-1209,Omega Inc,2024-09-22,8338.0,0
INV-5772,Alpha Supplies,2025-02-12,90.0,0
INV-2062,Beta Traders,2025-07-02,465.0,0
INV-4588,Beta Traders,2025-04-23,94.0,0
INV-4418,Omega Inc,2024-08-21,255.0,0
INV-4080,Omega Inc,2025-01-17,491.0,0
INV-1842,Alpha Supplies,2024-10-05,509.0,0
INV-4090,Beta Traders,2024-10-30,506.0,0
INV-4298,Delta Services,2024-12-09,104.0,0
INV-1885,Alpha Supplies,2025-06-15,5402.0,1
INV-7607,Delta Services,2024-08-10,1399.0,0
INV-6952,Beta Traders,2024-12-10,4486.0,0
INV-2516,Beta Traders,2025-04-15,101.0,0
INV-7553,Omega Inc,2024-10-26,1684.0,0
INV-7083,Gamma Co,2024-09-14,325.0,0
INV-2626,Alpha Supplies,2025-04-22,439.0,0
INV-1974,Alpha Supplies,2024-12-17,106.0,0
INV-4749,Delta Services,2025-03-03,254.0,0
INV-6903,Delta Services,2025-06-17,246.0,0
INV-1848,Gamma Co,2024-11-11,7874.0,0
INV-9841,Gamma Co,2024-09-26,419.0,1
INV-6164,Alpha Supplies,2025-03-14,81.0,0
INV-1794,Delta Services,2025-06-14,5687.0,0
INV-8095,Delta Services,2024-08-20,107.0,0
INV-9265,Beta Traders,2025-02-23,8287.0,0
INV-6280,Gamma Co,2025-05-25,96.0,0
INV-4001,Delta Services,2024-11-22,106.0,0
INV-5936,Omega Inc,2025-05-05,100.0,1
INV-5910,Alpha Supplies,2024-12-27,483.0,0
INV-1288,Beta Traders,2024-08-14,10065.0,0
INV-8916,Beta Traders,2024-12-21,4794.0,0
INV-9048,Delta Services,2025-07-23,6348.0,0
INV-2292,Beta Traders,2025-03-06,215.0,0
INV-7230,Delta Services,2025-06-12,11021.0,1
INV-1034,Omega Inc,2024-11-13,10843.0,0
INV-2077,Delta Services,2024-08-23,95.0,0
INV-4648,Delta Services,2025-05-09,496.0,0
INV-3816,Beta Traders,2025-02-26,288.0,0
INV-9177,Beta Traders,2025-07-17,116.0,0
INV-9889,Beta Traders,2025-08-07,1398.0,0
INV-7643,Omega Inc,2025-06-04,321.0,0
INV-2755,Omega Inc,2024-09-04,8953.0,1
INV-2746,Alpha Supplies,2024-10-21,1523.0,0
INV-4950,Delta Services,2025-01-01,90.0,0
INV-4628,Delta Services,2024-12-09,194.0,0
INV-5015,Omega Inc,2025-03-26,6737.0,0
INV-8017,Omega Inc,2024-08-20,5346.0,0
INV-7819,Delta Services,2024-10-27,1285.0,0
INV-4133,Gamma Co,2024-09-07,103.0,0
INV-8973,Alpha Supplies,2025-04-24,322.0,0
INV-2735,Gamma Co,2024-08-10,9034.0,0
INV-3034,Omega Inc,2025-02-05,9468.0,0
INV-9993,Omega Inc,2025-05-07,5352.0,0
INV-4989,Alpha Supplies,2025-03-23,333.0,0
INV-7683,Beta Traders,2025-04-13,91.0,0
INV-8882,Alpha Supplies,2024-09-11,1308.0,0
INV-8243,Beta Traders,2024-09-02,1393.0,0
INV-5610,Omega Inc,2025-04-08,200.0,0
INV-2353,Alpha Supplies,2025-01-12,11083.0,0
INV-9460,Delta Services,2024-08-29,508.0,0
INV-7045,Delta Services,2024-08-25,10652.0,0
INV-4778,Gamma Co,2025-01-28,332.0,0
INV-8094,Omega Inc,2024-11-19,267.0,0
INV-6387,Beta Traders,2025-01-02,6034.0,0
INV-7728,Delta Services,2024-08-18,107.0,0
INV-8702,Beta Traders,2025-02-27,3831.0,0
INV-8043,Beta Traders,2025-04-16,1021.0,0
INV-2697,Delta Services,2025-02-14,1307.0,0
INV-5840,Delta Services,2025-04-08,98.0,0
INV-2982,Omega Inc,2025-05-28,4941.0,0
INV-8742,Omega Inc,2024-09-17,12933.0,0
INV-5190,Beta Traders,2025-05-25,210.0,0
INV-9673,Delta Services,2025-02-23,1218.0,0
INV-7808,Beta Traders,2025-06-03,9395.0,0
INV-4024,Beta Traders,2024-08-17,1276.0,0
INV-9021,Gamma Co,2024-11-26,1413.0,0
INV-8905,Alpha Supplies,2025-02-13,10730.0,1
INV-4636,Beta Traders,2025-06-11,4689.0,0
INV-5794,Delta Services,2025-03-16,542.0,0
INV-6472,Beta Traders,2024-09-06,98.0,0
INV-2651,Gamma Co,2024-10-14,1593.0,0
INV-3505,Gamma Co,2025-07-10,482.0,0
INV-6318,Delta Services,2025-06-23,9499.0,0
INV-8452,Alpha Supplies,2025-04-01,223.0,0
INV-9642,Alpha Supplies,2025-08-05,206.0,0
INV-3342,Omega Inc,2025-02-12,116.0,0
INV-4105,Beta Traders,2025-01-08,8095.0,0
INV-9637,Omega Inc,2025-08-10,564.0,0
INV-1201,Delta Services,2025-01-19,4972.0,0
INV-9752,Alpha Supplies,2025-03-19,1160.0,0
INV-3395,Beta Traders,2025-06-15,110.0,0
INV-7826,Alpha Supplies,2025-04-16,95.0,0
INV-6686,Alpha Supplies,2024-08-13,1389.0,0
INV-8517,Gamma Co,2025-03-13,219.0,0
INV-3278,Gamma Co,2024-09-24,4558.0,1
INV-6636,Gamma Co,2024-09-07,1127.0,0
INV-1085,Beta Traders,2024-12-15,5813.0,0
INV-2099,Delta Services,2025-05-17,1367.0,0
INV-4420,Omega Inc,2025-01-31,100.0,0
INV-9706,Omega Inc,2024-11-05,1317.0,0
INV-4138,Delta Services,2025-04-21,100.0,0
INV-9169,Gamma Co,2025-04-30,9621.0,0
INV-8492,Delta Services,2025-01-11,271.0,0
INV-5358,Omega Inc,2024-11-13,1316.0,0
INV-6125,Omega Inc,2024-10-23,111.0,0
INV-7901,Alpha Supplies,2025-01-22,9058.0,0
INV-5646,Delta Services,2024-09-19,1209.0,0
INV-5420,Omega Inc,2025-01-20,9833.0,0
INV-8732,Omega Inc,2025-04-07,10219.0,0
INV-5919,Delta Services,2025-03-01,1240.0,0
INV-6514,Omega Inc,2025-06-02,1334.0,0
INV-6739,Alpha Supplies,2025-06-26,273.0,0
INV-5471,Gamma Co,2025-07-21,249.0,0
INV-3098,Omega Inc,2024-08-10,12334.0,0
INV-5107,Alpha Supplies,2024-10-15,309.0,0
INV-8152,Gamma Co,2025-03-09,1645.0,0
INV-3589,Gamma Co,2024-08-23,224.0,0
INV-6630,Gamma Co,2025-02-26,370.0,0
INV-2370,Delta Services,2025-06-28,6996.0,0
INV-4314,Alpha Supplies,2025-03-16,4428.0,0
INV-3857,Alpha Supplies,2025-01-10,973.0,0
INV-1563,Alpha Supplies,2025-03-17,325.0,0
INV-5299,Omega Inc,2025-06-09,122.0,0
INV-5192,Beta Traders,2025-01-12,7606.0,0
INV-9294,Alpha Supplies,2024-11-19,8305.0,0
INV-8406,Beta Traders,2025-08-01,483.0,0
INV-4966,Alpha Supplies,2024-11-20,110.0,0
INV-2552,Omega Inc,2024-08-23,91.0,0
INV-6988,Beta Traders,2025-03-02,4718.0,0
INV-4657,Alpha Supplies,2024-11-15,225.0,0
INV-4051,Omega Inc,2024-08-12,100.0,0
INV-8303,Omega Inc,2025-01-06,296.0,0
INV-3061,Alpha Supplies,2024-08-22,8351.0,0
INV-3333,Alpha Supplies,2024-10-06,461.0,0
INV-6103,Gamma Co,2025-03-01,10170.0,0
INV-7926,Gamma Co,2025-01-26,468.0,0
INV-4006,Gamma Co,2025-07-14,79.0,0
INV-7942,Beta Traders,2024-12-02,203.0,0
INV-1547,Gamma Co,2024-10-21,189.0,0
INV-6601,Gamma Co,2024-12-14,7291.0,0
INV-9663,Alpha Supplies,2025-08-10,238.0,0
INV-3661,Gamma Co,2025-02-13,180.0,0
INV-3194,Beta Traders,2025-02-10,521.0,0
INV-2274,Gamma Co,2024-10-24,4508.0,0
INV-5944,Beta Traders,2024-08-18,193.0,0
INV-8055,Beta Traders,2024-12-10,516.0,0
INV-4443,Gamma Co,2025-07-09,5869.0,1
INV-6896,Gamma Co,2024-08-25,4938.0,0
INV-2525,Omega Inc,2024-08-22,99.0,1
INV-4756,Gamma Co,2025-05-17,226.0,0
INV-8155,Alpha Supplies,2025-04-18,9460.0,0
INV-7735,Beta Traders,2025-03-10,1353.0,0
INV-9385,Beta Traders,2025-05-08,101.0,0
INV-4008,Gamma Co,2025-03-24,1281.0,0
INV-8887,Delta Services,2025-03-11,5501.0,0
INV-8846,Gamma Co,2024-12-07,8637.0,0
INV-4178,Delta Services,2025-03-14,4231.0,0
INV-9327,Omega Inc,2025-06-30,510.0,0
INV-9803,Delta Services,2025-08-06,10536.0,0
INV-8650,Gamma Co,2025-02-06,108.0,0
INV-4842,Beta Traders,2024-11-30,5416.0,0
INV-1842,Alpha Supplies,2024-12-07,269.0,0
INV-4548,Gamma Co,2025-02-04,5548.0,0
INV-2497,Alpha Supplies,2025-05-19,224.0,0
INV-3042,Beta Traders,2025-04-09,488.0,0
INV-2711,Delta Services,2024-09-24,11447.0,0
INV-7575,Omega Inc,2024-09-21,488.0,0
INV-4803,Delta Services,2024-08-10,478.0,0
INV-4344,Alpha Supplies,2024-11-26,161.0,0
INV-5010,Beta Traders,2025-05-15,89.0,0
INV-7044,Omega Inc,2025-03-10,5902.0,0
INV-7972,Alpha Supplies,2025-05-21,544.0,0
INV-6440,Omega Inc,2025-02-05,903.0,0
INV-5312,Gamma Co,2025-02-05,430.0,0
INV-9501,Gamma Co,2025-03-16,537.0,0
INV-3865,Gamma Co,2024-10-28,10595.0,0
INV-2868,Alpha Supplies,2025-08-01,133.0,0
INV-8842,Gamma Co,2025-02-23,8263.0,1
INV-2791,Omega Inc,2025-03-22,6607.0,1
INV-1134,Alpha Supplies,2024-12-20,84.0,0
INV-7351,Gamma Co,2025-03-18,10381.0,0
INV-2098,Omega Inc,2024-08-24,99.0,0
INV-4100,Omega Inc,2025-04-21,79.0,0
INV-6903,Alpha Supplies,2024-09-26,547.0,0
INV-5919,Gamma Co,2024-09-19,99.0,0
INV-8606,Delta Services,2025-07-21,1074.0,0
INV-6577,Alpha Supplies,2025-02-15,4476.0,0
INV-4822,Alpha Supplies,2025-04-28,261.0,0
INV-9845,Alpha Supplies,2024-10-31,1217.0,0
INV-4241,Alpha Supplies,2025-05-05,107.0,0
INV-4313,Omega Inc,2024-10-05,93.0,0
INV-4129,Omega Inc,2024-10-17,4578.0,0
INV-8554,Delta Services,2025-01-12,478.0,0
INV-9632,Alpha Supplies,2024-12-30,1097.0,0
INV-3524,Alpha Supplies,2024-11-23,678.0,0
INV-6067,Omega Inc,2025-04-12,4667.0,0
INV-5312,Beta Traders,2025-02-26,232.0,0
INV-3950,Gamma Co,2025-05-01,104.0,0
INV-5312,Alpha Supplies,2025-03-09,88.0,0
INV-2475,Delta Services,2025-01-06,76.0,0
INV-9626,Beta Traders,2025-01-22,479.0,0
INV-9307,Delta Services,2025-03-23,5523.0,0
INV-4438,Alpha Supplies,2025-04-29,536.0,0
INV-4175,Beta Traders,2025-04-17,106.0,0
INV-7140,Beta Traders,2025-04-24,4851.0,0
INV-3321,Omega Inc,2024-11-17,282.0,0
INV-1943,Beta Traders,2025-06-03,1056.0,0
INV-2528,Gamma Co,2024-12-18,495.0,0
INV-4231,Delta Services,2025-05-27,91.0,0
INV-1701,Beta Traders,2024-11-17,4331.0,0
INV-8390,Alpha Supplies,2025-05-31,11220.0,0
INV-1598,Beta Traders,2025-05-14,3274.0,0
INV-3028,Alpha Supplies,2024-10-01,606.0,0
INV-8493,Delta Services,2025-07-05,1182.0,0
INV-7575,Beta Traders,2025-01-06,265.0,0
INV-3114,Omega Inc,2025-03-05,5116.0,0
INV-4051,Omega Inc,2025-08-06,258.0,0
INV-2042,Gamma Co,2025-08-03,281.0,0
INV-1776,Beta Traders,2024-09-14,3812.0,0
INV-9938,Delta Services,2025-02-10,512.0,0
INV-4116,Delta Services,2025-06-26,10118.0,0
INV-8567,Omega Inc,2025-03-13,123.0,0
INV-6815,Gamma Co,2025-02-13,4153.0,0
INV-1653,Alpha Supplies,2025-07-30,997.0,0
INV-5023,Alpha Supplies,2024-08-16,517.0,0
INV-9476,Alpha Supplies,2025-04-07,975.0,0
INV-3870,Alpha Supplies,2024-10-16,5037.0,0
INV-1737,Beta Traders,2025-02-18,619.0,0
INV-4578,Beta Traders,2024-08-27,447.0,1
INV-9789,Alpha Supplies,2025-04-19,221.0,0
INV-8802,Omega Inc,2025-04-18,1648.0,0
INV-2946,Alpha Supplies,2025-01-18,265.0,0
INV-6346,Gamma Co,2024-08-30,88.0,0
INV-3853,Delta Services,2025-04-14,4915.0,1
INV-6150,Omega Inc,2024-11-05,113.0,0
INV-9251,Alpha Supplies,2025-02-26,106.0,0
INV-4461,Alpha Supplies,2024-10-06,11284.0,0
INV-4304,Delta Services,2025-03-09,4561.0,0
INV-3458,Omega Inc,2025-01-17,3707.0,1
INV-5351,Omega Inc,2025-05-02,1231.0,0
INV-5622,Beta Traders,2025-04-08,1161.0,0
INV-1320,Omega Inc,2025-06-04,274.0,0
INV-1547,Omega Inc,2025-04-04,9623.0,0
INV-7253,Beta Traders,2025-05-05,10737.0,0
INV-4833,Beta Traders,2025-07-27,1093.0,0
INV-6424,Gamma Co,2024-10-04,240.0,0
INV-1880,Alpha Supplies,2025-07-17,10471.0,1
INV-1384,Beta Traders,2025-03-05,1165.0,0
INV-5782,Beta Traders,2024-11-01,8353.0,0
INV-1901,Omega Inc,2025-03-01,958.0,0
INV-4413,Alpha Supplies,2025-07-22,1513.0,0
INV-2508,Omega Inc,2024-11-06,4917.0,0
INV-2266,Gamma Co,2024-08-17,128.0,0
